Freq.	Vriaa
1.00000000000000e+000	2.39422760681707e+001
1.02329299228075e+000	2.41408899003128e+001
1.04712854805090e+000	2.43395107877456e+001
1.07151930523761e+000	2.45381358327481e+001
1.09647819614318e+000	2.47367621457822e+001
1.12201845430196e+000	2.49353868395852e+001
1.14815362149688e+000	2.51340070232529e+001
1.17489755493953e+000	2.53326197963588e+001
1.20226443461741e+000	2.55312222429932e+001
1.23026877081238e+000	2.57298114258282e+001
1.25892541179417e+000	2.59283843800846e+001
1.28824955169313e+000	2.61269381075088e+001
1.31825673855641e+000	2.63254695702258e+001
1.34896288259165e+000	2.65239756845676e+001
1.38038426460288e+000	2.67224533147766e+001
1.41253754462275e+000	2.69208992666392e+001
1.44543977074593e+000	2.71193102810120e+001
1.47910838816821e+000	2.73176830271955e+001
1.51356124843621e+000	2.75160140962332e+001
1.54881661891248e+000	2.77142999940048e+001
1.58489319246111e+000	2.79125371342227e+001
1.62181009735893e+000	2.81107218312227e+001
1.65958690743756e+000	2.83088502925968e+001
1.69824365246174e+000	2.85069186116405e+001
1.73780082874937e+000	2.87049227595792e+001
1.77827941003892e+000	2.89028585775919e+001
1.81970085860998e+000	2.91007217686141e+001
1.86208713666287e+000	2.92985078888923e+001
1.90546071796325e+000	2.94962123393022e+001
1.94984459975804e+000	2.96938303563738e+001
1.99526231496888e+000	2.98913570030754e+001
2.04173794466953e+000	3.00887871592805e+001
2.08929613085404e+000	3.02861155119561e+001
2.13796208950223e+000	3.04833365450180e+001
2.18776162394955e+000	3.06804445288647e+001
2.23872113856834e+000	3.08774335095835e+001
2.29086765276777e+000	3.10742972977791e+001
2.34422881531992e+000	3.12710294570725e+001
2.39883291901949e+000	3.14676232921934e+001
2.45470891568503e+000	3.16640718366974e+001
2.51188643150958e+000	3.18603678402929e+001
2.57039578276886e+000	3.20565037557331e+001
2.63026799189538e+000	3.22524717253162e+001
2.69153480392691e+000	3.24482635669333e+001
2.75422870333816e+000	3.26438707597038e+001
2.81838293126445e+000	3.28392844291091e+001
2.88403150312660e+000	3.30344953317463e+001
2.95120922666638e+000	3.32294938395505e+001
3.01995172040201e+000	3.34242699236000e+001
3.09029543251359e+000	3.36188131374210e+001
3.16227766016837e+000	3.38131125998238e+001
3.23593656929628e+000	3.40071569772853e+001
3.31131121482591e+000	3.42009344658292e+001
