Freq.	Vline_out	Vriaa   Vriaa_isolated
1.00000000000000e+000	4.17347309668170e+001	2.38302072654421e+001   2.39422760681707e+001
1.02329299228075e+000	4.19333447989296e+001	2.40288210975549e+001   2.41408899003128e+001
1.04712854805090e+000	4.21319656863340e+001	2.42274419849595e+001   2.43395107877456e+001
1.07151930523761e+000	4.23305907313104e+001	2.44260670299360e+001   2.45381358327481e+001
1.09647819614318e+000	4.25292170443107e+001	2.46246933429365e+001   2.47367621457822e+001
1.12201845430196e+000	4.27278417380811e+001	2.48233180367071e+001   2.49353868395852e+001
1.14815362149688e+000	4.29264619217149e+001	2.50219382203411e+001   2.51340070232529e+001
1.17489755493953e+000	4.31250746947807e+001	2.52205509934072e+001   2.53326197963588e+001
1.20226443461741e+000	4.33236771413837e+001	2.54191534400104e+001   2.55312222429932e+001
1.23026877081238e+000	4.35222663241787e+001	2.56177426228056e+001   2.57298114258282e+001
1.25892541179417e+000	4.37208392783955e+001	2.58163155770226e+001   2.59283843800846e+001
1.28824955169313e+000	4.39193930057758e+001	2.60148693044031e+001   2.61269381075088e+001
1.31825673855641e+000	4.41179244684500e+001	2.62134007670776e+001   2.63254695702258e+001
1.34896288259165e+000	4.43164305827423e+001	2.64119068813702e+001   2.65239756845676e+001
1.38038426460288e+000	4.45149082129014e+001	2.66103845115297e+001   2.67224533147766e+001
1.41253754462275e+000	4.47133541647148e+001	2.68088304633433e+001   2.69208992666392e+001
1.44543977074593e+000	4.49117651790315e+001	2.70072414776603e+001   2.71193102810120e+001
1.47910838816821e+000	4.51101379251640e+001	2.72056142237932e+001   2.73176830271955e+001
1.51356124843621e+000	4.53084689941407e+001	2.74039452927702e+001   2.75160140962332e+001
1.54881661891248e+000	4.55067548918483e+001	2.76022311904781e+001   2.77142999940048e+001
1.58489319246111e+000	4.57049920320036e+001	2.78004683306339e+001   2.79125371342227e+001
1.62181009735893e+000	4.59031767289338e+001	2.79986530275645e+001   2.81107218312227e+001
1.65958690743756e+000	4.61013051902392e+001	2.81967814888703e+001   2.83088502925968e+001
1.69824365246174e+000	4.62993735092109e+001	2.83948498078425e+001   2.85069186116405e+001
1.73780082874937e+000	4.64973776570712e+001	2.85928539557032e+001   2.87049227595792e+001
1.77827941003892e+000	4.66953134750026e+001	2.87907897736351e+001   2.89028585775919e+001
1.81970085860998e+000	4.68931766659382e+001	2.89886529645712e+001   2.91007217686141e+001
1.86208713666287e+000	4.70909627861322e+001	2.91864390847657e+001   2.92985078888923e+001
