time	V(out)
0.000000000000000e+000	4.745543e-011
7.142857099446638e-010	2.030404e-006
1.428571419889328e-009	3.891057e-006
2.142857129833992e-009	5.582005e-006
2.857142839778655e-009	7.103248e-006
3.571428549723319e-009	8.454787e-006
4.285714259667983e-009	9.636621e-006
4.999999969612645e-009	1.064875e-005
1.999999987845058e-008	-4.273224e-006
3.999999975690116e-008	-9.722678e-005
7.999999951380232e-008	-4.058783e-004
1.599999990276046e-007	-1.195686e-003
6.399999961104186e-007	-6.396665e-003
5.359642844918460e-006	-5.782998e-002
1.007928569372650e-005	-1.091020e-001
1.479892854253454e-005	-1.602127e-001
1.951857139134259e-005	-2.111622e-001
2.423821424015063e-005	-2.619503e-001
2.895785708895867e-005	-3.125771e-001
3.367749993776670e-005	-3.630427e-001
4.930249993776670e-005	-5.272092e-001
7.273999993776670e-005	-7.634584e-001
9.617749993776672e-005	-9.831816e-001
1.196149999377667e-004	-1.181623e+000
1.430524999377668e-004	-1.354486e+000
1.664899999377668e-004	-1.498029e+000
1.899274999377668e-004	-1.609145e+000
2.133649999377668e-004	-1.685428e+000
2.368024999377668e-004	-1.725226e+000
2.602399999377669e-004	-1.727675e+000
2.836774999377669e-004	-1.692722e+000
3.071149999377669e-004	-1.621122e+000
3.305524999377669e-004	-1.514422e+000
3.539899999377670e-004	-1.374934e+000
3.774274999377670e-004	-1.205676e+000
4.008649999377670e-004	-1.010314e+000
4.243024999377670e-004	-7.930768e-001
4.477399999377670e-004	-5.586698e-001
4.633649999377671e-004	-3.953541e-001
4.789899999377671e-004	-2.282309e-001
4.946149999377670e-004	-5.890966e-002
5.102399999377670e-004	1.109756e-001
5.258649999377671e-004	2.797913e-001
5.414899999377671e-004	4.459110e-001
5.571149999377671e-004	6.077346e-001
5.805524999377671e-004	8.390201e-001
6.039899999377671e-004	1.052139e+000
6.274274999377671e-004	1.242480e+000
6.508649999377672e-004	1.405924e+000
6.743024999377672e-004	1.538933e+000
6.977399999377672e-004	1.638632e+000
7.211774999377672e-004	1.702863e+000
7.446149999377672e-004	1.730238e+000
7.680524999377673e-004	1.720164e+000
7.914899999377673e-004	1.672861e+000
8.149274999377673e-004	1.589351e+000
8.383649999377673e-004	1.471442e+000
8.618024999377674e-004	1.321684e+000
8.852399999377674e-004	1.143319e+000
9.086774999377674e-004	9.402059e-001
9.321149999377674e-004	7.167405e-001
9.477399999377674e-004	5.588303e-001
9.633649999377674e-004	3.955378e-001
9.789899999377673e-004	2.284360e-001
9.946149999377674e-004	5.913441e-002
1.010239999937767e-003	-1.107391e-001
1.025864999937767e-003	-2.795458e-001
1.041489999937767e-003	-4.456604e-001
1.057114999937767e-003	-6.074833e-001
1.080552499937767e-003	-8.387766e-001
1.103989999937768e-003	-1.051913e+000
1.127427499937768e-003	-1.242280e+000
1.150864999937768e-003	-1.405756e+000
1.174302499937768e-003	-1.538802e+000
1.197739999937768e-003	-1.638538e+000
1.221177499937768e-003	-1.702805e+000
1.244614999937768e-003	-1.730209e+000
1.268052499937768e-003	-1.720157e+000
1.291489999937768e-003	-1.672865e+000
1.314927499937768e-003	-1.589354e+000
1.338364999937768e-003	-1.471432e+000
1.361802499937768e-003	-1.321652e+000
1.385239999937768e-003	-1.143255e+000
1.408677499937768e-003	-9.401060e-001
1.432114999937768e-003	-7.166026e-001
1.447739999937768e-003	-5.586675e-001
1.463364999937768e-003	-3.953519e-001
1.478989999937768e-003	-2.282286e-001
1.494614999937768e-003	-5.890739e-002
1.510239999937768e-003	1.109779e-001
