Freq.	V(out)
1.00000000000000e+00	(1.05263945358043e+02dB,-5.22938811158747e+01°)
1.02329299228075e+00	(1.05116326329674e+02dB,-5.20925257108439e+01°)
1.04712854805090e+00	(1.04969853036972e+02dB,-5.18796462575417e+01°)
1.07151930523761e+00	(1.04824582247595e+02dB,-5.16554823666727e+01°)
1.09647819614318e+00	(1.04680569875719e+02dB,-5.14202862921774e+01°)
1.12201845430196e+00	(1.04537870899682e+02dB,-5.11743229838469e+01°)
1.14815362149688e+00	(1.04396539275760e+02dB,-5.09178701107498e+01°)
1.17489755493953e+00	(1.04256627848599e+02dB,-5.06512180518673e+01°)
1.20226443461741e+00	(1.04118188258268e+02dB,-5.03746698507990e+01°)
1.23026877081238e+00	(1.03981270844732e+02dB,-5.00885411314868e+01°)
1.25892541179417e+00	(1.03845924550139e+02dB,-4.97931599723144e+01°)
1.28824955169313e+00	(1.03712196819184e+02dB,-4.94888667356081e+01°)
1.31825673855641e+00	(1.03580133498469e+02dB,-4.91760138507990e+01°)
1.34896288259165e+00	(1.03449778735406e+02dB,-4.88549655490949e+01°)
1.38038426460288e+00	(1.03321174877088e+02dB,-4.85260975482510e+01°)
1.41253754462275e+00	(1.03194362370191e+02dB,-4.81897966864473e+01°)
1.44543977074593e+00	(1.03069379662340e+02dB,-4.78464605047084e+01°)
1.47910838816821e+00	(1.02946263105846e+02dB,-4.74964967778344e+01°)
1.51356124843621e+00	(1.02825046864568e+02dB,-4.71403229942172e+01°)
1.54881661891248e+00	(1.02705762824482e+02dB,-4.67783657855997e+01°)
1.58489319246111e+00	(1.02588440509003e+02dB,-4.64110603083910e+01°)
1.62181009735893e+00	(1.02473106999458e+02dB,-4.60388495784310e+01°)
1.65958690743756e+00	(1.02359786861830e+02dB,-4.56621837620413e+01°)
1.69824365246174e+00	(1.02248502079917e+02dB,-4.52815194262699e+01°)
1.73780082874937e+00	(1.02139271996040e+02dB,-4.48973187521698e+01°)
1.77827941003892e+00	(1.02032113259555e+02dB,-4.45100487150098e+01°)
1.81970085860998e+00	(1.01927039783779e+02dB,-4.41201802360312e+01°)
1.86208713666287e+00	(1.01824062711741e+02dB,-4.37281873105936e+01°)
1.90546071796325e+00	(1.01723190391112e+02dB,-4.33345461177930e+01°)
1.94984459975804e+00	(1.01624428358724e+02dB,-4.29397341172011e+01°)
1.99526231496888e+00	(1.01527779334438e+02dB,-4.25442291379678e+01°)
2.04173794466953e+00	(1.01433243225148e+02dB,-4.21485084664673e+01°)
2.08929613085404e+00	(1.01340817138190e+02dB,-4.17530479378670e+01°)
2.13796208950223e+00	(1.01250495404594e+02dB,-4.13583210375633e+01°)
2.18776162394955e+00	(1.01162269611765e+02dB,-4.09647980181051e+01°)
2.23872113856834e+00	(1.01076128645292e+02dB,-4.05729450369470e+01°)
2.29086765276777e+00	(1.00992058739717e+02dB,-4.01832233204822e+01°)
2.34422881531992e+00	(1.00910043537711e+02dB,-3.97960883591092e+01°)
2.39883291901949e+00	(1.00830064156986e+02dB,-3.94119891378791e+01°)
2.45470891568503e+00	(1.00752099264798e+02dB,-3.90313674071825e+01°)
2.51188643150958e+00	(1.00676125158942e+02dB,-3.86546569967886e+01°)
