time	V(out)
0.000000000000000e+000	5.751620e-011
3.124999981007903e-010	-3.130236e-004
6.249999962015806e-010	-5.740117e-004
1.249999992403161e-009	-9.636073e-004
2.499999984806323e-009	-1.408109e-003
4.999999969612645e-009	-1.712154e-003
9.999999939225290e-009	-1.696885e-003
1.999999987845058e-008	-1.406485e-003
3.999999975690116e-008	-1.064343e-003
7.999999951380232e-008	-9.744760e-004
1.599999990276046e-007	-1.545863e-003
3.199999980552093e-007	-3.219177e-003
5.432142837694952e-006	-5.890372e-002
1.054428567733470e-005	-1.143664e-001
1.565642851697444e-005	-1.696072e-001
2.076857135661418e-005	-2.246261e-001
2.588071419625392e-005	-2.794231e-001
3.099285703589367e-005	-3.339983e-001
3.610499987553340e-005	-3.883516e-001
5.172999987553340e-005	-5.515094e-001
6.735499987553340e-005	-7.093604e-001
8.297999987553340e-005	-8.603840e-001
9.860499987553340e-005	-1.003125e+000
1.142299998755334e-004	-1.136209e+000
1.298549998755334e-004	-1.258353e+000
1.454799998755334e-004	-1.368381e+000
1.611049998755334e-004	-1.465232e+000
1.767299998755334e-004	-1.547974e+000
1.923549998755334e-004	-1.615809e+000
2.079799998755335e-004	-1.668083e+000
2.236049998755335e-004	-1.704293e+000
2.392299998755335e-004	-1.724090e+000
2.548549998755335e-004	-1.727282e+000
2.704799998755335e-004	-1.713840e+000
2.861049998755335e-004	-1.683891e+000
3.017299998755335e-004	-1.637725e+000
3.173549998755336e-004	-1.575786e+000
3.329799998755336e-004	-1.498672e+000
3.486049998755336e-004	-1.407123e+000
3.642299998755336e-004	-1.302024e+000
3.798549998755336e-004	-1.184386e+000
3.954799998755336e-004	-1.055343e+000
4.111049998755336e-004	-9.161384e-001
4.267299998755337e-004	-7.681133e-001
4.423549998755337e-004	-6.126938e-001
4.579799998755337e-004	-4.513777e-001
4.736049998755337e-004	-2.857186e-001
4.892299998755337e-004	-1.173126e-001
5.048549998755337e-004	5.221684e-002
5.204799998755337e-004	2.212366e-001
5.361049998755337e-004	3.881200e-001
5.517299998755338e-004	5.512597e-001
5.673549998755338e-004	7.090843e-001
5.829799998755338e-004	8.600742e-001
5.986049998755338e-004	1.002776e+000
6.142299998755338e-004	1.135815e+000
6.298549998755338e-004	1.257912e+000
6.454799998755338e-004	1.367892e+000
6.611049998755339e-004	1.464695e+000
6.767299998755339e-004	1.547392e+000
6.923549998755339e-004	1.615186e+000
