time	V(out)
0.000000000000000e+000	1.515539e-017
7.812499952519758e-011	1.044600e-009
1.562499990503952e-010	2.125947e-009
3.124999981007903e-010	4.202790e-009
6.249999962015806e-010	7.708604e-009
1.249999992403161e-009	1.273103e-008
2.499999984806323e-009	1.829415e-008
4.999999969612645e-009	2.255570e-008
9.999999939225290e-009	2.735620e-008
1.999999987845058e-008	7.658861e-008
3.999999975690116e-008	7.186705e-007
7.999999951380232e-008	7.678638e-006
1.599999990276046e-007	6.616263e-005
3.199999980552093e-007	4.016310e-004
5.778807407153166e-007	1.522142e-003
9.561859132319810e-007	4.162586e-003
1.556852264325962e-006	9.610811e-003
2.221417216208710e-006	1.641866e-002
3.114750049714459e-006	2.601739e-002
4.352037184562749e-006	3.946658e-002
6.679886041720121e-006	6.481211e-002
1.133558375603486e-005	1.154375e-001
1.914808375603486e-005	2.001338e-001
2.696058375603486e-005	2.843727e-001
3.477308375603486e-005	3.679266e-001
4.258558375603486e-005	4.505942e-001
5.039808375603486e-005	5.321762e-001
5.821058375603486e-005	6.124762e-001
6.602308375603486e-005	6.913007e-001
7.383558375603487e-005	7.684598e-001
8.164808375603488e-005	8.437676e-001
8.946058375603489e-005	9.170427e-001
9.727308375603489e-005	9.881086e-001
1.050855837560349e-004	1.056794e+000
1.128980837560349e-004	1.122934e+000
1.207105837560349e-004	1.186368e+000
1.285230837560349e-004	1.246944e+000
1.363355837560349e-004	1.304516e+000
1.441480837560349e-004	1.358946e+000
1.519605837560349e-004	1.410101e+000
1.597730837560350e-004	1.457860e+000
1.675855837560350e-004	1.502106e+000
1.753980837560350e-004	1.542734e+000
1.832105837560350e-004	1.579645e+000
1.910230837560350e-004	1.612750e+000
1.988355837560350e-004	1.641971e+000
2.066480837560350e-004	1.667235e+000
2.144605837560350e-004	1.688483e+000
2.222730837560350e-004	1.705663e+000
2.300855837560350e-004	1.718735e+000
2.378980837560350e-004	1.727665e+000
2.457105837560350e-004	1.732434e+000
