Freq.	V(n004)
2.00000000000000e+01	(-2.88416549707589e+00dB,8.88918665208424e+01°)
2.24403690860393e+01	(-2.02363468358917e+00dB,7.96179579706915e+01°)
2.51785082358833e+01	(-1.37820421670413e+00dB,7.07293709569944e+01°)
2.82507508924551e+01	(-9.16079402510929e-01dB,6.24883833706376e+01°)
3.16978638492223e+01	(-5.97615192641470e-01dB,5.50401986974746e+01°)
3.55655882007784e+01	(-3.84487642622838e-01dB,4.84240547843353e+01°)
3.99052462993776e+01	(-2.44860053180029e-01dB,4.26067579741938e+01°)
4.47744227713668e+01	(-1.54746984737261e-01dB,3.75168315473079e+01°)
5.02377286301916e+01	(-9.71964254332733e-02dB,3.30691421743567e+01°)
5.63676586252890e+01	(-6.07158481405403e-02dB,2.91791745439495e+01°)
6.32455532033675e+01	(-3.77213275371397e-02dB,2.57697847431633e+01°)
7.09626778467150e+01	(-2.32947832425727e-02dB,2.27734953455870e+01°)
7.96214341106994e+01	(-1.42828615151250e-02dB,2.01325176954965e+01°)
8.93367184301925e+01	(-8.67879751321827e-03dB,1.77977957224547e+01°)
1.00237446725454e+02	(-5.21203164564938e-03dB,1.57277495900412e+01°)
1.12468265038070e+02	(-3.08111873410850e-03dB,1.38870362798056e+01°)
1.26191468896038e+02	(-1.78202920084711e-03dB,1.22454527930155e+01°)
1.41589156876827e+02	(-9.98630771707277e-04dB,1.07770144463158e+01°)
1.58865646944856e+02	(-5.33184026180672e-04dB,9.45919977443342e+00°)
1.78250187626749e+02	(-2.62381700891630e-04dB,8.27233861881931e+00°)
2.00000000000000e+02	(-1.09611464290959e-04dB,7.19911712596296e+00°)
2.24403690860392e+02	(-2.74882466141732e-05dB,6.22417555264637e+00°)
2.51785082358833e+02	(1.31276277332528e-05dB,5.33377859327459e+00°)
2.82507508924550e+02	(3.00230644142823e-05dB,4.51554189226734e+00°)
3.16978638492222e+02	(3.39500792462945e-05dB,3.75820188572338e+00°)
3.55655882007784e+02	(3.13243974183373e-05dB,3.05141896353569e+00°)
3.99052462993775e+02	(2.59066241004649e-05dB,2.38560617340952e+00°)
4.47744227713667e+02	(1.98443725025737e-05dB,1.75177738710707e+00°)
5.02377286301915e+02	(1.43124658450970e-05dB,1.14141011589466e+00°)
5.63676586252889e+02	(9.89877583035128e-06dB,5.46319087092414e-01°)
6.32455532033674e+02	(6.82601447610800e-06dB,-4.14626491626973e-02°)
7.09626778467149e+02	(5.06240460122728e-06dB,-6.29797868058174e-01°)
7.96214341106992e+02	(4.34845090309117e-06dB,-1.22655708417119e+00°)
8.93367184301924e+02	(4.14738131668621e-06dB,-1.83973061500151e+00°)
1.00237446725454e+03	(3.50890578078266e-06dB,-2.47754318485214e+00°)
1.12468265038070e+03	(8.15801094674101e-07dB,-3.14857360272898e+00°)
1.26191468896038e+03	(-6.64394435533000e-06dB,-3.86188233931795e+00°)
1.41589156876827e+03	(-2.33759576977478e-05dB,-4.62715029456922e+00°)
1.58865646944856e+03	(-5.68061166105443e-05dB,-5.45483273033206e+00°)
1.78250187626749e+03	(-1.19086252967220e-04dB,-6.35633329982177e+00°)
1.99999999999999e+03	(-2.29979136461875e-04dB,-7.34420441310615e+00°)
2.24403690860392e+03	(-4.21458483610924e-04dB,-8.43238192678066e+00°)
2.51785082358833e+03	(-7.45032264628468e-04dB,-9.63646443490848e+00°)
2.82507508924550e+03	(-1.28338618725239e-03dB,-1.09740503471500e+01°)
3.16978638492222e+03	(-2.16887233766927e-03dB,-1.24651494713348e+01°)
3.55655882007783e+03	(-3.61282633457079e-03dB,-1.41326897686292e+01°)
3.99052462993774e+03	(-5.95197527968313e-03dB,-1.60031436474332e+01°)
4.47744227713666e+03	(-9.72172804193298e-03dB,-1.81072999377359e+01°)
5.02377286301914e+03	(-1.57715247869535e-02dB,-2.04812038511896e+01°)
5.63676586252889e+03	(-2.54454385045637e-02dB,-2.31672701538408e+01°)
6.32455532033673e+03	(-4.08626434120915e-02dB,-2.62155294596892e+01°)
7.09626778467148e+03	(-6.53473509810025e-02dB,-2.96848660192413e+01°)
7.96214341106991e+03	(-1.04074161880421e-01dB,-3.36438991197511e+01°)
8.93367184301922e+03	(-1.65003750433272e-01dB,-3.81707752830032e+01°)
1.00237446725454e+04	(-2.60161588697926e-01dB,-4.33504919142447e+01°)
1.12468265038069e+04	(-4.07207090444820e-01dB,-4.92674639105746e+01°)
1.26191468896038e+04	(-6.30965541573591e-01dB,-5.59902236487952e+01°)
1.41589156876827e+04	(-9.64075459714927e-01dB,-6.35456317905495e+01°)
1.58865646944856e+04	(-1.44526928378625e+00dB,-7.18841892963571e+01°)
1.78250187626748e+04	(-2.11373311023199e+00dB,-8.08479096711986e+01°)
2.00000000000000e+04	(-2.99964459909629e+00dB,-9.01633861056000e+01°)
