Freq.	V(out)
1.00000000000000e+001	(-6.53568632577305e+000dB,1.62672094670574e+001°)
1.00230523807790e+001	(-6.53231899450845e+000dB,1.62961492591259e+001°)
1.00461579027840e+001	(-6.52893882757685e+000dB,1.63251184684992e+001°)
1.00693166885180e+001	(-6.52554578675202e+000dB,1.63541169251967e+001°)
1.00925288607668e+001	(-6.52213983366910e+000dB,1.63831444484244e+001°)
1.01157945425990e+001	(-6.51872092972008e+000dB,1.64122008655654e+001°)
1.01391138573668e+001	(-6.51528903594070e+000dB,1.64412860311230e+001°)
1.01624869287070e+001	(-6.51184411585138e+000dB,1.64703997458684e+001°)
1.01859138805412e+001	(-6.50838613108454e+000dB,1.64995418395689e+001°)
1.02093948370768e+001	(-6.50491503932544e+000dB,1.65287121190173e+001°)
1.02329299228075e+001	(-6.50143080589458e+000dB,1.65579104670543e+001°)
1.02565192625141e+001	(-6.49793339160319e+000dB,1.65871366418751e+001°)
1.02801629812647e+001	(-6.49442275770064e+000dB,1.66163904925708e+001°)
1.03038612044162e+001	(-6.49089886448805e+000dB,1.66456718270911e+001°)
1.03276140576140e+001	(-6.48736167642755e+000dB,1.66749804605287e+001°)
1.03514216667934e+001	(-6.48381115114454e+000dB,1.67043162176020e+001°)
1.03752841581801e+001	(-6.48024725227541e+000dB,1.67336789050664e+001°)
1.03992016582906e+001	(-6.47666994301837e+000dB,1.67630683422308e+001°)
1.04231742939330e+001	(-6.47307918046786e+000dB,1.67924843258831e+001°)
1.04472021922080e+001	(-6.46947492894648e+000dB,1.68219267042538e+001°)
1.04712854805090e+001	(-6.46585714759540e+000dB,1.68513952188198e+001°)
1.04954242865232e+001	(-6.46222579966386e+000dB,1.68808897472010e+001°)
1.05196187382322e+001	(-6.45858084708783e+000dB,1.69104100392380e+001°)
1.05438689639126e+001	(-6.45492224885280e+000dB,1.69399559287022e+001°)
1.05681750921366e+001	(-6.45124996650595e+000dB,1.69695271961370e+001°)
1.05925372517729e+001	(-6.44756396480591e+000dB,1.69991236657028e+001°)
1.06169555719872e+001	(-6.44386420111967e+000dB,1.70287451363060e+001°)
1.06414301822431e+001	(-6.44015063857032e+000dB,1.70583913791698e+001°)
1.06659612123026e+001	(-6.43642323519738e+000dB,1.70880622163768e+001°)
1.06905487922266e+001	(-6.43268195605442e+000dB,1.71177574306007e+001°)
1.07151930523761e+001	(-6.42892676357788e+000dB,1.71474768173991e+001°)
1.07398941234124e+001	(-6.42515761336902e+000dB,1.71772201671050e+001°)
1.07646521362983e+001	(-6.42137447060574e+000dB,1.72069872692630e+001°)
1.07894672222983e+001	(-6.41757729561538e+000dB,1.72367779122026e+001°)
1.08143395129794e+001	(-6.41376605149258e+000dB,1.72665918745803e+001°)
1.08392691402120e+001	(-6.40994069618914e+000dB,1.72964289712402e+001°)
1.08642562361706e+001	(-6.40610119285876e+000dB,1.73262889551780e+001°)
1.08893009333343e+001	(-6.40224750215320e+000dB,1.73561716209218e+001°)
1.09144033644875e+001	(-6.39837958415576e+000dB,1.73860767322972e+001°)
1.09395636627209e+001	(-6.39449740322367e+000dB,1.74160041036625e+001°)
1.09647819614318e+001	(-6.39060091779660e+000dB,1.74459534792446e+001°)
1.09900583943252e+001	(-6.38669008972637e+000dB,1.74759246567803e+001°)
1.10153930954141e+001	(-6.38276487920024e+000dB,1.75059173963318e+001°)
1.10407861990207e+001	(-6.37882524881677e+000dB,1.75359314714345e+001°)
1.10662378397766e+001	(-6.37487115964446e+000dB,1.75659666609863e+001°)
1.10917481526240e+001	(-6.37090257311171e+000dB,1.75960227246461e+001°)
1.11173172728159e+001	(-6.36691944961173e+000dB,1.76260994474096e+001°)
1.11429453359173e+001	(-6.36292175182750e+000dB,1.76561965848076e+001°)
1.11686324778056e+001	(-6.35890944195355e+000dB,1.76863138761788e+001°)
1.11943788346715e+001	(-6.35488247564894e+000dB,1.77164511410723e+001°)
1.12201845430196e+001	(-6.35084082043066e+000dB,1.77466080899928e+001°)
1.12460497396692e+001	(-6.34678443315354e+000dB,1.77767845097738e+001°)
1.12719745617551e+001	(-6.34271327813464e+000dB,1.78069801402388e+001°)
1.12979591467279e+001	(-6.33862731566054e+000dB,1.78371947638989e+001°)
1.13240036323555e+001	(-6.33452650655103e+000dB,1.78674281112935e+001°)
1.13501081567231e+001	(-6.33041081168927e+000dB,1.78976799452413e+001°)
1.13762728582343e+001	(-6.32628019580908e+000dB,1.79279500120399e+001°)
1.14024978756117e+001	(-6.32213461631078e+000dB,1.79582380651847e+001°)
1.14287833478977e+001	(-6.31797403577800e+000dB,1.79885438586438e+001°)
1.14551294144553e+001	(-6.31379841805016e+000dB,1.80188671244558e+001°)
1.14815362149688e+001	(-6.30960772140860e+000dB,1.80492076244181e+001°)
1.15080038894443e+001	(-6.30540190797342e+000dB,1.80795650896725e+001°)
1.15345325782109e+001	(-6.30118093989547e+000dB,1.81099392693511e+001°)
1.15611224219210e+001	(-6.29694477800338e+000dB,1.81403298851810e+001°)
1.15877735615512e+001	(-6.29269338532820e+000dB,1.81707366909436e+001°)
1.16144861384034e+001	(-6.28842672015579e+000dB,1.82011594245400e+001°)
1.16412602941049e+001	(-6.28414474937329e+000dB,1.82315978130484e+001°)
1.16680961706096e+001	(-6.27984742979577e+000dB,1.82620516033821e+001°)
1.16949939101987e+001	(-6.27553472702307e+000dB,1.82925204990912e+001°)
1.17219536554813e+001	(-6.27120659876826e+000dB,1.83230042517367e+001°)
1.17489755493953e+001	(-6.26686301025630e+000dB,1.83535025951244e+001°)
1.17760597352080e+001	(-6.26250392048959e+000dB,1.83840152345127e+001°)
1.18032063565173e+001	(-6.25812929236508e+000dB,1.84145418873419e+001°)
1.18304155572516e+001	(-6.25373908882018e+000dB,1.84450823172398e+001°)
1.18576874816716e+001	(-6.24933327127143e+000dB,1.84756361941679e+001°)
1.18850222743701e+001	(-6.24491179991505e+000dB,1.85062032738275e+001°)
1.19124200802737e+001	(-6.24047463944576e+000dB,1.85367832549423e+001°)
1.19398810446427e+001	(-6.23602174924651e+000dB,1.85673758612724e+001°)
1.19674053130724e+001	(-6.23155309321765e+000dB,1.85979808020115e+001°)
1.19949930314937e+001	(-6.22706863315330e+000dB,1.86285977901861e+001°)
