Freq.	V(out)
1.00000000000000e+001	(-8.13664226721893e+000dB,-1.55154570450199e+001°)
1.00230523807790e+001	(-8.14000872336561e+000dB,-1.55461306168310e+001°)
1.00461579027840e+001	(-8.14338802092423e+000dB,-1.55768296302013e+001°)
1.00693166885180e+001	(-8.14678019735165e+000dB,-1.56075539044036e+001°)
1.00925288607668e+001	(-8.15018528850820e+000dB,-1.56383032902970e+001°)
1.01157945425990e+001	(-8.15360333829589e+000dB,-1.56690776191071e+001°)
1.01391138573668e+001	(-8.15703437547476e+000dB,-1.56998767630115e+001°)
1.01624869287070e+001	(-8.16047844546616e+000dB,-1.57307005271218e+001°)
1.01859138805412e+001	(-8.16393558422108e+000dB,-1.57615487681062e+001°)
1.02093948370768e+001	(-8.16740583540917e+000dB,-1.57924212703079e+001°)
1.02329299228075e+001	(-8.17088922810940e+000dB,-1.58233179062179e+001°)
1.02565192625141e+001	(-8.17438580671224e+000dB,-1.58542385135067e+001°)
1.02801629812647e+001	(-8.17789561111954e+000dB,-1.58851828865038e+001°)
1.03038612044162e+001	(-8.18141867560997e+000dB,-1.59161508725197e+001°)
1.03276140576140e+001	(-8.18495504133221e+000dB,-1.59471422970258e+001°)
1.03514216667934e+001	(-8.18850474621197e+000dB,-1.59781569734371e+001°)
1.03752841581801e+001	(-8.19206782695593e+000dB,-1.60091947475654e+001°)
1.03992016582906e+001	(-8.19564432495820e+000dB,-1.60402554334036e+001°)
1.04231742939330e+001	(-8.19923427863189e+000dB,-1.60713388274461e+001°)
1.04472021922080e+001	(-8.20283772550776e+000dB,-1.61024447708759e+001°)
1.04712854805090e+001	(-8.20645470578800e+000dB,-1.61335730691299e+001°)
1.04954242865232e+001	(-8.21008525200893e+000dB,-1.61647235359601e+001°)
1.05196187382322e+001	(-8.21372941260565e+000dB,-1.61958960098672e+001°)
1.05438689639126e+001	(-8.21738721684892e+000dB,-1.62270902979382e+001°)
1.05681750921366e+001	(-8.22105871083693e+000dB,-1.62583061521000e+001°)
