time	V(out)
0.000000000000000e+00	-7.903731e-04
1.562499990503952e-10	-7.923723e-04
3.124999981007903e-10	-7.932878e-04
6.249999962015806e-10	-7.937853e-04
1.249999992403161e-09	-7.939938e-04
2.499999984806323e-09	-7.932673e-04
4.999999969612645e-09	-7.914123e-04
9.999999939225290e-09	-7.847328e-04
1.999999987845058e-08	-7.250144e-04
3.999999975690116e-08	-2.921507e-04
7.999999951380232e-08	1.996730e-03
1.599999990276046e-07	1.048108e-02
3.199999980552093e-07	3.265536e-02
6.399999961104186e-07	7.892934e-02
1.057790743772372e-06	1.386957e-01
1.893372239096280e-06	2.582496e-01
3.479779426449841e-06	4.852575e-01
6.602496340878044e-06	9.317245e-01
1.284793016973445e-05	1.822265e+00
2.533879782744726e-05	3.590449e+00
4.096379782744726e-05	5.769508e+00
5.658879782744726e-05	7.893747e+00
7.221379782744726e-05	9.941214e+00
8.783879782744726e-05	1.189219e+01
1.034637978274473e-04	1.372785e+01
1.190887978274473e-04	1.543054e+01
1.347137978274473e-04	1.699955e+01
1.445023492226893e-04	1.789687e+01
1.563720259615629e-04	1.887331e+01
1.719970259615629e-04	2.000211e+01
1.876220259615629e-04	2.094833e+01
2.032470259615629e-04	2.169207e+01
2.188720259615629e-04	2.222616e+01
2.344970259615629e-04	2.254545e+01
2.501220259615630e-04	2.264880e+01
2.651986971269298e-04	2.253919e+01
2.808236971269298e-04	2.220973e+01
2.964486971269299e-04	2.166756e+01
3.120736971269299e-04	2.091597e+01
3.276986971269299e-04	1.996221e+01
3.433236971269299e-04	1.881546e+01
3.589486971269299e-04	1.748675e+01
3.745736971269299e-04	1.598886e+01
3.901986971269299e-04	1.433827e+01
4.048542979175626e-04	1.266158e+01
4.204792979175626e-04	1.075362e+01
4.361042979175626e-04	8.743360e+00
4.517292979175626e-04	6.648156e+00
4.673542979175626e-04	4.488188e+00
4.829792979175627e-04	2.284254e+00
4.986042979175626e-04	5.758158e-02
5.142292979175626e-04	-2.170386e+00
5.298542979175626e-04	-4.378193e+00
5.454792979175627e-04	-6.544574e+00
5.611042979175627e-04	-8.648666e+00
5.767292979175627e-04	-1.067020e+01
5.923542979175627e-04	-1.258971e+01
6.079792979175627e-04	-1.438868e+01
6.236042979175627e-04	-1.604980e+01
6.392292979175627e-04	-1.755713e+01
6.548542979175628e-04	-1.889615e+01
6.704792979175628e-04	-2.005395e+01
6.861042979175628e-04	-2.101935e+01
7.017292979175628e-04	-2.178306e+01
7.173542979175628e-04	-2.233773e+01
7.329792979175628e-04	-2.267801e+01
7.486042979175628e-04	-2.280063e+01
7.642292979175629e-04	-2.270441e+01
7.798542979175629e-04	-2.239026e+01
7.954792979175629e-04	-2.186123e+01
8.111042979175629e-04	-2.112240e+01
8.267292979175629e-04	-2.018088e+01
8.423542979175629e-04	-1.904575e+01
8.579792979175629e-04	-1.772794e+01
8.736042979175630e-04	-1.624010e+01
8.892292979175630e-04	-1.459654e+01
9.048542979175630e-04	-1.281315e+01
9.204792979175630e-04	-1.090714e+01
9.361042979175630e-04	-8.896839e+00
9.517292979175630e-04	-6.801598e+00
9.673542979175630e-04	-4.641592e+00
9.829792979175629e-04	-2.437623e+00
9.986042979175630e-04	-2.109150e-01
1.014229297917563e-03	2.017087e+00
1.029854297917563e-03	4.224927e+00
1.045479297917563e-03	6.391341e+00
1.061104297917563e-03	8.495466e+00
