Freq.	V(out)
1.00000000000000e+00	(1.50175133233855e+01dB,1.12104051280709e+02°)
1.02329299228075e+00	(1.53127352329162e+01dB,1.11152256880849e+02°)
1.04712854805090e+00	(1.56046566524566e+01dB,1.10183565999341e+02°)
1.07151930523761e+00	(1.58931930468999e+01dB,1.09198388467730e+02°)
1.09647819614318e+00	(1.61782614867081e+01dB,1.08197156672165e+02°)
1.12201845430196e+00	(1.64597808475874e+01dB,1.07180325471107e+02°)
1.14815362149688e+00	(1.67376720134553e+01dB,1.06148372021846e+02°)
1.17489755493953e+00	(1.70118580817121e+01dB,1.05101795511301e+02°)
1.20226443461741e+00	(1.72822645696242e+01dB,1.04041116788243e+02°)
1.23026877081238e+00	(1.75488196205627e+01dB,1.02966877894445e+02°)
1.25892541179417e+00	(1.78114542087765e+01dB,1.01879641493341e+02°)
1.28824955169313e+00	(1.80701023413353e+01dB,1.00779990195162e+02°)
1.31825673855641e+00	(1.83247012559480e+01dB,9.96685257783173e+01°)
1.34896288259165e+00	(1.85751916131598e+01dB,9.85458683082922e+01°)
1.38038426460288e+00	(1.88215176815064e+01dB,9.74126551558948e+01°)
1.41253754462275e+00	(1.90636275143477e+01dB,9.62695399170987e+01°)
1.44543977074593e+00	(1.93014731168713e+01dB,9.51171912387595e+01°)
1.47910838816821e+00	(1.95350106020206e+01dB,9.39562915545133e+01°)
1.51356124843621e+00	(1.97642003340970e+01dB,9.27875357361224e+01°)
1.54881661891248e+00	(1.99890070586713e+01dB,9.16116296678031e+01°)
1.58489319246111e+00	(2.02094000179737e+01dB,9.04292887490418e+01°)
1.62181009735893e+00	(2.04253530504998e+01dB,8.92412363355172e+01°)
1.65958690743756e+00	(2.06368446741232e+01dB,8.80482021257109e+01°)
1.69824365246174e+00	(2.08438581518611e+01dB,8.68509205031454e+01°)
1.73780082874937e+00	(2.10463815397499e+01dB,8.56501288435636e+01°)
1.77827941003892e+00	(2.12444077163352e+01dB,8.44465657974269e+01°)
1.81970085860998e+00	(2.14379343934130e+01dB,8.32409695586175e+01°)
1.86208713666287e+00	(2.16269641080189e+01dB,8.20340761289035e+01°)
1.90546071796325e+00	(2.18115041955040e+01dB,8.08266175901459e+01°)
1.94984459975804e+00	(2.19915667440121e+01dB,7.96193203937805e+01°)
1.99526231496888e+00	(2.21671685306111e+01dB,7.84129036786492e+01°)
2.04173794466953e+00	(2.23383309395891e+01dB,7.72080776270677e+01°)
2.08929613085404e+00	(2.25050798635479e+01dB,7.60055418688530e+01°)
2.13796208950223e+00	(2.26674455881072e+01dB,7.48059839421583e+01°)
2.18776162394955e+00	(2.28254626609765e+01dB,7.36100778208352e+01°)
2.23872113856834e+00	(2.29791697466458e+01dB,7.24184825142408e+01°)
2.29086765276777e+00	(2.31286094675738e+01dB,7.12318407485365e+01°)
2.34422881531992e+00	(2.32738282332093e+01dB,7.00507777346687e+01°)
2.39883291901949e+00	(2.34148760581246e+01dB,6.88759000283054e+01°)
2.45470891568503e+00	(2.35518063704645e+01dB,6.77077944873481e+01°)
2.51188643150958e+00	(2.36846758122823e+01dB,6.65470273287821e+01°)
2.57039578276886e+00	(2.38135440329211e+01dB,6.53941432894461e+01°)
2.63026799189538e+00	(2.39384734770373e+01dB,6.42496648908600e+01°)
2.69153480392691e+00	(2.40595291685139e+01dB,6.31140918098169e+01°)
2.75422870333816e+00	(2.41767784917170e+01dB,6.19879003543026e+01°)
2.81838293126445e+00	(2.42902909713974e+01dB,6.08715430436348e+01°)
2.88403150312660e+00	(2.44001380524653e+01dB,5.97654482919809e+01°)
2.95120922666638e+00	(2.45063928809841e+01dB,5.86700201915792e+01°)
