Freq.	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
2.00000000000000e+001	1.00000000000000e+000,0.00000000000000e+000	9.99936678270119e-001,7.95724325627898e-003	-9.99936678270119e-001,-7.95724325628308e-003	9.99936678270119e-001,7.95724325627898e-003	-9.99936678270119e-001,-7.95724325628555e-003
2.51785082358833e+001	1.00000000000000e+000,0.00000000000000e+000	9.99960045755799e-001,6.32081069638675e-003	-9.99960045755799e-001,-6.32081069639256e-003	9.99960045755799e-001,6.32081069638675e-003	-9.99960045755799e-001,-6.32081069639412e-003
3.16978638492223e+001	1.00000000000000e+000,0.00000000000000e+000	9.99974790204464e-001,5.02087243434943e-003	-9.99974790204464e-001,-5.02087243436626e-003	9.99974790204464e-001,5.02087243434943e-003	-9.99974790204464e-001,-5.02087243435767e-003
3.99052462993776e+001	1.00000000000000e+000,0.00000000000000e+000	9.99984093546368e-001,3.98825784226910e-003	-9.99984093546368e-001,-3.98825784227151e-003	9.99984093546368e-001,3.98825784226910e-003	-9.99984093546368e-001,-3.98825784228052e-003
5.02377286301916e+001	1.00000000000000e+000,0.00000000000000e+000	9.99989963647342e-001,3.16800440816729e-003	-9.99989963647342e-001,-3.16800440815545e-003	9.99989963647342e-001,3.16800440816729e-003	-9.99989963647342e-001,-3.16800440816678e-003
6.32455532033676e+001	1.00000000000000e+000,0.00000000000000e+000	9.99993667466123e-001,2.51644466965232e-003	-9.99993667466123e-001,-2.51644466973200e-003	9.99993667466123e-001,2.51644466965232e-003	-9.99993667466123e-001,-2.51644466970902e-003
7.96214341106995e+001	1.00000000000000e+000,0.00000000000000e+000	9.99996004431904e-001,1.99888772357713e-003	-9.99996004431904e-001,-1.99888772364132e-003	9.99996004431904e-001,1.99888772357713e-003	-9.99996004431904e-001,-1.99888772363011e-003
1.00237446725454e+002	1.00000000000000e+000,0.00000000000000e+000	9.99997478963247e-001,1.58777529811140e-003	-9.99997478963247e-001,-1.58777529817662e-003	9.99997478963247e-001,1.58777529811140e-003	-9.99997478963247e-001,-1.58777529816234e-003
1.26191468896039e+002	1.00000000000000e+000,0.00000000000000e+000	9.99998409331865e-001,1.26121592308523e-003	-9.99998409331865e-001,-1.26121592309131e-003	9.99998409331865e-001,1.26121592308523e-003	-9.99998409331865e-001,-1.26121592313666e-003
1.58865646944856e+002	1.00000000000000e+000,0.00000000000000e+000	9.99998996355668e-001,1.00182000588323e-003	-9.99998996355668e-001,-1.00182000592533e-003	9.99998996355668e-001,1.00182000588323e-003	-9.99998996355668e-001,-1.00182000596760e-003
2.00000000000000e+002	1.00000000000000e+000,0.00000000000000e+000	9.99999366743003e-001,7.95774211529570e-004	-9.99999366743003e-001,-7.95774211503688e-004	9.99999366743003e-001,7.95774211529570e-004	-9.99999366743003e-001,-7.95774211610478e-004
2.51785082358834e+002	1.00000000000000e+000,0.00000000000000e+000	9.99999600441754e-001,6.32106072405849e-004	-9.99999600441754e-001,-6.32106072516133e-004	9.99999600441754e-001,6.32106072405849e-004	-9.99999600441754e-001,-6.32106072544047e-004
3.16978638492223e+002	1.00000000000000e+000,0.00000000000000e+000	9.99999747895753e-001,5.02099774689275e-004	-9.99999747895753e-001,-5.02099774823328e-004	9.99999747895753e-001,5.02099774689275e-004	-9.99999747895753e-001,-5.02099774848830e-004
3.99052462993776e+002	1.00000000000000e+000,0.00000000000000e+000	9.99999840932959e-001,3.98832064790618e-004	-9.99999840932959e-001,-3.98832064785666e-004	9.99999840932959e-001,3.98832064790618e-004	-9.99999840932959e-001,-3.98832065002353e-004
5.02377286301916e+002	1.00000000000000e+000,0.00000000000000e+000	9.99999899635476e-001,3.16803588573742e-004	-9.99999899635476e-001,-3.16803588563234e-004	9.99999899635476e-001,3.16803588573742e-004	-9.99999899635476e-001,-3.16803588702896e-004
6.32455532033676e+002	1.00000000000000e+000,0.00000000000000e+000	9.99999936674264e-001,2.51646044586763e-004	-9.99999936674264e-001,-2.51646045027837e-004	9.99999936674264e-001,2.51646044586763e-004	-9.99999936674264e-001,-2.51646044944209e-004
7.96214341106995e+002	1.00000000000000e+000,0.00000000000000e+000	9.99999960044161e-001,1.99889563043350e-004	-9.99999960044161e-001,-1.99889562846400e-004	9.99999960044161e-001,1.99889563043350e-004	-9.99999960044161e-001,-1.99889563191391e-004
1.00237446725455e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999974789570e-001,1.58777926093278e-004	-9.99999974789570e-001,-1.58777925840595e-004	9.99999974789570e-001,1.58777926093278e-004	-9.99999974789570e-001,-1.58777926117182e-004
1.26191468896039e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999984093293e-001,1.26121790920258e-004	-9.99999984093293e-001,-1.26121790908763e-004	9.99999984093293e-001,1.26121790920258e-004	-9.99999984093293e-001,-1.26121791254263e-004
1.58865646944856e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999989963547e-001,1.00182100130048e-004	-9.99999989963547e-001,-1.00182100608032e-004	9.99999989963547e-001,1.00182100130048e-004	-9.99999989963547e-001,-1.00182100140955e-004
2.00000000000000e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999993667426e-001,7.95774710420174e-005	-9.99999993667426e-001,-7.95774720872004e-005	9.99999993667426e-001,7.95774710420174e-005	-9.99999993667426e-001,-7.95774722064379e-005
2.51785082358834e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999996004416e-001,6.32106322443509e-005	-9.99999996004416e-001,-6.32106311384699e-005	9.99999996004416e-001,6.32106322443509e-005	-9.99999996004416e-001,-6.32106311968528e-005
3.16978638492223e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999997478957e-001,5.02099900004977e-005	-9.99999997478957e-001,-5.02099887813584e-005	9.99999997478957e-001,5.02099900004977e-005	-9.99999997478957e-001,-5.02099901495967e-005
3.99052462993776e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999998409329e-001,3.98832127597254e-005	-9.99999998409329e-001,-3.98832138553319e-005	9.99999998409329e-001,3.98832127597254e-005	-9.99999998409330e-001,-3.98832125938497e-005
5.02377286301917e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999998996355e-001,3.16803620051628e-005	-9.99999998996355e-001,-3.16803636223779e-005	9.99999998996355e-001,3.16803620051628e-005	-9.99999998996355e-001,-3.16803634632379e-005
6.32455532033677e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999999366743e-001,2.51646060363078e-005	-9.99999999366743e-001,-2.51646035762966e-005	9.99999999366743e-001,2.51646060363078e-005	-9.99999999366743e-001,-2.51646051765420e-005
7.96214341106995e+003	1.00000000000000e+000,0.00000000000000e+000	9.99999999600442e-001,1.99889570950238e-005	-9.99999999600441e-001,-1.99889561180145e-005	9.99999999600442e-001,1.99889570950238e-005	-9.99999999600441e-001,-1.99889545910992e-005
1.00000000000000e+004	1.00000000000000e+000,0.00000000000000e+000	9.99999999746697e-001,1.59154943051581e-005	-9.99999999746697e-001,-1.59154997190002e-005	9.99999999746697e-001,1.59154943051581e-005	-9.99999999746697e-001,-1.59155024448410e-005
