time	V(n001)	V(n006)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.797698234880247e-06	2.531946e-16	-2.531946e-16
3.595396469760494e-06	2.200836e-16	-2.200836e-16
5.393094704640741e-06	-9.933295e-17	9.933295e-17
7.190792939520988e-06	-7.050552e-16	7.050552e-16
8.988491174401235e-06	-1.597083e-15	1.597083e-15
1.078618940928148e-05	-2.775416e-15	2.775416e-15
1.258388764416172e-05	-4.240056e-15	4.240056e-15
2.516679928835105e-05	-9.166325e-14	9.166325e-14
3.232933246289107e-05	-4.681147e-13	4.681147e-13
3.685420484655992e-05	-1.507173e-12	1.507173e-12
3.976803351059301e-05	-3.557331e-12	3.557331e-12
4.194676135958827e-05	-7.347889e-12	7.347889e-12
4.392249191331754e-05	-1.513798e-11	1.513798e-11
4.602427279920526e-05	-3.279399e-11	3.279399e-11
4.797149695314489e-05	-6.783880e-11	6.783880e-11
5.000062251780898e-05	-1.448835e-10	1.448835e-10
5.195227548008843e-05	-3.016997e-10	3.016997e-10
5.395078450198100e-05	-6.392776e-10	6.392776e-10
5.590952600822063e-05	-1.336476e-09	1.336476e-09
5.789450924141361e-05	-2.820676e-09	2.820676e-09
5.985864894719827e-05	-5.910426e-09	5.910426e-09
6.183731811537777e-05	-1.244859e-08	1.244859e-08
6.380501081430207e-05	-2.611741e-08	2.611741e-08
6.578086101199560e-05	-5.494494e-08	5.494494e-08
6.775127062142533e-05	-1.153350e-07	1.153350e-07
6.972702942441094e-05	-2.423964e-07	2.423964e-07
7.170175966335557e-05	-5.085587e-07	5.085587e-07
7.368336489739205e-05	-1.066546e-06	1.066546e-06
7.567269500574458e-05	-2.230046e-06	2.230046e-06
7.768297377115855e-05	-4.644633e-06	4.644633e-06
7.973280395936141e-05	-9.606119e-06	9.606119e-06
8.186535772022199e-05	-1.970757e-05	1.970757e-05
8.415439839915910e-05	-4.014521e-05	4.014521e-05
8.674694765517138e-05	-8.204376e-05	8.204376e-05
8.989160464964524e-05	-1.708774e-04	1.708774e-04
9.403996486359710e-05	-3.712662e-04	3.712662e-04
1.000256925093294e-04	-8.635675e-04	8.635675e-04
1.095003395613189e-04	-2.211518e-03	2.211518e-03
1.260252630920106e-04	-6.444717e-03	6.444717e-03
1.584668558067473e-04	-2.197732e-02	2.197732e-02
2.233500412362208e-04	-8.092217e-02	8.092217e-02
3.531164120951677e-04	-2.990796e-01	2.990796e-01
6.007785282835104e-04	-9.680166e-01	9.680166e-01
8.561559241679611e-04	-1.970240e+00	1.970240e+00
1.241773848499605e-03	-3.966183e+00	3.966183e+00
1.714019852220211e-03	-6.897356e+00	6.897356e+00
2.479696439827824e-03	-1.208939e+01	1.208939e+01
3.391089033200944e-03	-1.814513e+01	1.814513e+01
4.085797093545424e-03	-2.229940e+01	2.229940e+01
4.415739540700954e-03	-2.395908e+01	2.395908e+01
4.763251304645411e-03	-2.536428e+01	2.536428e+01
5.211867786462946e-03	-2.674629e+01	2.674629e+01
5.644889971403846e-03	-2.756433e+01	2.756433e+01
6.347320025041691e-03	-2.808811e+01	2.808811e+01
7.323882525041691e-03	-2.823213e+01	2.823213e+01
8.300445025041691e-03	-2.823213e+01	2.823213e+01
9.277007525041691e-03	-2.823213e+01	2.823213e+01
1.025357002504169e-02	-2.823213e+01	2.823213e+01
1.123013252504169e-02	-2.823213e+01	2.823213e+01
1.220669502504169e-02	-2.823213e+01	2.823213e+01
1.318325752504169e-02	-2.825910e+01	2.825910e+01
1.400504970368921e-02	-2.834813e+01	2.834813e+01
1.411942666355065e-02	-2.838921e+01	2.838921e+01
1.434818058327353e-02	-2.854069e+01	2.854069e+01
1.480568842271930e-02	-2.890333e+01	2.890333e+01
1.522770217449401e-02	-2.919505e+01	2.919505e+01
1.567064968174521e-02	-2.935436e+01	2.935436e+01
1.638892065152322e-02	-2.941468e+01	2.941468e+01
1.736548315152322e-02	-2.942124e+01	2.942124e+01
1.834204565152322e-02	-2.942124e+01	2.942124e+01
1.931860815152322e-02	-2.942124e+01	2.942124e+01
2.029517065152322e-02	-2.942124e+01	2.942124e+01
2.127173315152322e-02	-2.942124e+01	2.942124e+01
2.224829565152322e-02	-2.942124e+01	2.942124e+01
2.322485815152322e-02	-2.942124e+01	2.942124e+01
2.402137329801795e-02	-2.942645e+01	2.942645e+01
2.436747429535864e-02	-2.944110e+01	2.944110e+01
2.462705004336415e-02	-2.950345e+01	2.950345e+01
2.497315104070484e-02	-2.962010e+01	2.962010e+01
2.529002053932401e-02	-2.970476e+01	2.970476e+01
2.577199379884337e-02	-2.976151e+01	2.976151e+01
2.655231056276705e-02	-2.977833e+01	2.977833e+01
2.752887306276705e-02	-2.977833e+01	2.977833e+01
2.850543556276705e-02	-2.977833e+01	2.977833e+01
2.948199806276705e-02	-2.977833e+01	2.977833e+01
3.045856056276705e-02	-2.977833e+01	2.977833e+01
