time	V(out)
Step Information: G=10m  (Run: 1/21)
0.000000000000000e+000	0.000000e+000
3.981744406920094e-009	-2.214175e-007
8.184009871324802e-009	-1.747919e-006
1.376596955026279e-008	-7.369698e-006
1.830994189140905e-008	-1.579288e-005
2.520566421881812e-008	-3.543577e-005
3.493729574406489e-008	-7.615279e-005
4.778504300818515e-008	-1.505803e-004
6.578362270715389e-008	-2.838954e-004
8.689088554170704e-008	-4.690520e-004
1.139671401234398e-007	-7.331510e-004
2.017479916662781e-007	-1.653073e-003
1.517533176929386e-005	-1.614571e-001
3.470658176929387e-005	-3.675446e-001
5.423783176929386e-005	-5.681038e-001
7.376908176929387e-005	-7.601182e-001
9.330033176929389e-005	-9.406998e-001
1.128315817692939e-004	-1.107132e+000
1.323628317692939e-004	-1.256913e+000
1.518940817692939e-004	-1.387788e+000
1.714253317692940e-004	-1.497789e+000
1.909565817692940e-004	-1.585263e+000
2.104878317692940e-004	-1.648892e+000
2.300190817692940e-004	-1.687721e+000
2.495503317692940e-004	-1.701164e+000
2.690815817692940e-004	-1.689021e+000
2.886128317692941e-004	-1.651473e+000
3.081440817692941e-004	-1.589086e+000
3.276753317692941e-004	-1.502797e+000
3.472065817692941e-004	-1.393905e+000
3.667378317692941e-004	-1.264047e+000
3.862690817692942e-004	-1.115176e+000
4.058003317692942e-004	-9.495329e-001
4.253315817692942e-004	-7.696074e-001
4.448628317692942e-004	-5.781063e-001
4.643940817692942e-004	-3.779099e-001
4.839253317692942e-004	-1.720294e-001
4.985737692692942e-004	-1.574978e-002
5.132222067692942e-004	1.406632e-001
5.327534567692942e-004	3.471340e-001
5.522847067692942e-004	5.483835e-001
5.718159567692943e-004	7.413849e-001
5.913472067692943e-004	9.232351e-001
6.108784567692943e-004	1.091199e+000
6.304097067692943e-004	1.242750e+000
6.499409567692943e-004	1.375609e+000
6.694722067692943e-004	1.487778e+000
6.890034567692944e-004	1.577569e+000
7.085347067692944e-004	1.643632e+000
7.280659567692944e-004	1.684973e+000
7.475972067692944e-004	1.700971e+000
7.671284567692944e-004	1.691385e+000
7.866597067692945e-004	1.656358e+000
8.061909567692945e-004	1.596418e+000
8.257222067692945e-004	1.512467e+000
